Rider,Team,GC,TT,Sprint,Climber,Classic,Age,crawl_date
Aiman Cahyadi,Pgn Road Cycling Team,93,49,232,63,28,26,2020-02-06
Michal Schlegel,Elkov - Kasper,223,23,91,101,12,24,2020-02-06
Danilo Celano,Team Sapura Cycling,118,0,47,188,101,30,2020-02-06
Louis Meintjes,NTT Pro Cycling,1732,330,111,1922,389,27,2020-02-06
Nur Amirul Fakhruddin Mazuki,Terengganu Inc. TSG Cycling Team,73,22,464,38,72,28,2020-02-06
Luuc Bugter,BEAT Cycling Club ,82,48,498,12,131,26,2020-02-06
Salvador Guardiola,Kinan Cycling Team,197,8,276,109,64,31,2020-02-06
Stéphane Rossetto,"Cofidis, Solutions Crédits",639,529,232,386,154,32,2020-02-06
Andreas Schillinger,BORA - hansgrohe,258,21,782,59,492,36,2020-02-06
Nikolas Maes,Lotto Soudal,494,112,1500,90,974,33,2020-02-06
Chris Froome,Team INEOS,8049,4198,544,6650,223,34,2020-02-06
Mattia Bais,Androni Giocattoli - Sidermec,74,16,141,52,15,23,2020-02-06
Yacine Hamza,Groupement Sportif des Pétroliers,15,20,352,22,60,22,2020-02-06
Bryan Gómez,Equipo Continental Supergiros,3,21,226,0,44,25,2020-02-06
Sergio Samitier,Movistar Team,67,0,2,20,10,24,2020-02-06
Juan Pedro López,Trek - Segafredo,72,17,8,52,15,22,2020-02-06
Daniel Auer,WSA KTM Graz,10,38,469,4,101,25,2020-02-06
Marco Marcato,UAE-Team Emirates,1671,155,3474,700,3266,35,2020-02-06
Salvatore Puccio,Team INEOS,400,81,181,270,300,30,2020-02-06
Alo Jakin ,,180,100,588,20,415,33,2020-02-06
Alex Kirsch,Trek - Segafredo,234,429,505,100,276,27,2020-02-06
Adam de Vos,Rally Cycling,42,53,236,64,155,26,2020-02-06
Andrea Bagioli,Deceuninck - Quick Step,25,2,64,23,29,20,2020-02-06
Lluís Mas,Movistar Team,349,150,312,184,99,30,2020-02-06
Coen Vermeltfoort,VolkerWessels-Merckx,67,208,2143,5,1143,31,2020-02-06
Koen de Kort,Trek - Segafredo,913,301,913,224,729,37,2020-02-06
Piotr Brożyna,Voster ATS Team,170,189,46,40,0,24,2020-02-06
Alfdan De Decker,Circus - Wanty Gobert,4,0,374,0,165,23,2020-02-06
Adam Stachowiak,Voster ATS Team,248,199,335,46,40,30,2020-02-06
Julien Antomarchi,Natura4Ever - Roubaix Lille Métropole,550,292,852,175,468,35,2020-02-06
Tom Leezer,Team Jumbo-Visma,578,100,848,38,672,34,2020-02-06
Darwin Atapuma,Colombia Tierra de Atletas - GW Bicicletas,1369,27,130,1523,175,32,2020-02-06
Anthony Roux,Groupama - FDJ,1163,1078,1734,530,1327,32,2020-02-06
Alessandro Fedeli,NIPPO DELKO One Provence,13,25,268,86,27,23,2020-02-06
Patrick Gamper,BORA - hansgrohe,110,68,94,8,17,22,2020-02-06
Jambaljamts Sainbayar ,,40,38,36,12,14,23,2020-02-06
Jefferson Alveiro Cepeda,Caja Rural - Seguros RGA,7,74,149,14,90,23,2020-02-06
Henok Mulubrhan,NTT Continental Cycling Team,57,21,193,25,76,20,2020-02-06
Matvey Nikitin,Vino - Astana Motors,132,39,566,68,67,27,2020-02-06
Nathan Earle,Team UKYO,467,84,274,288,121,31,2020-02-06
Scott Thwaites,Alpecin-Fenix,163,1,716,155,703,29,2020-02-06
José Vicente Toribio,Matrix Powertag,440,53,311,200,93,34,2020-02-06
Artem Nych,Gazprom - RusVelo,205,113,68,124,84,24,2020-02-06
Joseph Areruya ,,205,269,352,158,99,24,2020-02-06
Christian Knees,Team INEOS,1521,574,968,384,1032,38,2020-02-06
Hermann Keller ,,32,20,309,0,22,26,2020-02-06
Emil Vinjebo,Riwal Readynez Cycling Team,121,49,239,20,130,25,2020-02-06
Blake Quick,St George Continental Cycling Team,0,41,275,0,0,19,2020-02-06
Paweł Bernas,Mazowsze Serce Polski,320,71,661,60,186,29,2020-02-06
Jack Bauer,Mitchelton-Scott,594,667,416,157,556,34,2020-02-06
Colin Stüssi,Team Vorarlberg Santic,214,10,204,152,92,26,2020-02-06
Rohan Du Plooy,ProTouch,28,128,146,6,4,25,2020-02-06
Georg Zimmermann,CCC Team,17,0,118,20,24,22,2020-02-06
Alexander Konychev,Mitchelton-Scott,70,15,69,0,56,21,2020-02-06
Rubén Plaza ,,2413,1745,782,1206,433,39,2020-02-06
Alexander Grigoryev,Atum general / Tavira / Maria Nova Hotel,71,58,45,14,0,27,2020-02-06
Ryan Mullen,Trek - Segafredo,110,842,11,0,128,25,2020-02-06
Arjen Livyns,Bingoal - Wallonie Bruxelles,3,0,133,10,128,25,2020-02-06
Samir Jabrayilov ,,57,118,348,8,114,25,2020-02-06
Nils Eekhoff,Team Sunweb,14,115,282,0,82,22,2020-02-06
Maral-Erdene Batmunkh,Terengganu Inc. TSG Cycling Team,44,173,146,32,79,25,2020-02-06
Delio Fernández,NIPPO DELKO One Provence,740,144,518,438,161,33,2020-02-06
Nathan Brown,Rally Cycling,281,216,11,204,95,28,2020-02-06
Maarten Wynants,Team Jumbo-Visma,547,126,1008,38,1297,37,2020-02-06
Romain Sicard,Team Total Direct Energie,992,344,90,624,310,32,2020-02-06
Julien Vermote,"Cofidis, Solutions Crédits",600,381,328,72,450,30,2020-02-06
Ian Stannard,Team INEOS,654,445,781,24,1090,32,2020-02-06
Alexander Vdovin,Lokosphinx,63,2,136,54,132,26,2020-02-06
Paul Ourselin,Team Total Direct Energie,38,11,123,8,104,25,2020-02-06
Michał Paluta,CCC Team,54,92,194,8,54,24,2020-02-06
Efrén Santos,Canel's Pro Cycling,62,44,183,70,41,28,2020-02-06
Cristián Rodríguez,Caja Rural - Seguros RGA,160,3,5,114,70,24,2020-02-06
Rui Vinhas,W52 / FC Porto ,201,43,74,112,50,33,2020-02-06
Amir Kolahdozhagh,Ningxia Sports Lottery Continental Team,524,24,246,372,26,27,2020-02-06
Dmitriy Gruzdev,Astana Pro Team,643,621,305,26,243,33,2020-02-06
Héctor Carretero,Movistar Team,85,31,2,15,56,24,2020-02-06
Zhandos Bizhigitov,Astana Pro Team,196,165,272,60,137,28,2020-02-06
Siarhei Papok,Minsk Cycling Club,210,196,1826,36,307,32,2020-02-06
Edoardo Zardini,Vini Zabù - KTM,447,48,116,416,296,30,2020-02-06
Jason Christie,Aisan Racing Team,33,416,238,32,147,29,2020-02-06
Fabio Sabatini,"Cofidis, Solutions Crédits",525,145,1053,88,475,34,2020-02-06
Mitchell Docker,EF Pro Cycling,399,84,671,63,551,33,2020-02-06
Kris Boeckmans,B&B Hotels - Vital Concept p/b KTM,421,83,1791,50,946,32,2020-02-06
Paolo Simion,Tianyoude Hotel Cycling Team,119,20,912,18,178,27,2020-02-06
Guillaume Seye,BEAT Cycling Club ,20,3,44,0,46,23,2020-02-06
Szymon Tracz,CCC Development Team,41,80,19,12,1,21,2020-02-06
Olivier Le Gac,Groupama - FDJ,183,3,215,45,337,26,2020-02-06
Sjoerd van Ginneken ,,44,0,338,10,204,27,2020-02-06
Jonas Gregaard,Astana Pro Team,141,7,132,111,47,23,2020-02-06
Ian Garrison,Deceuninck - Quick Step,30,137,88,1,15,21,2020-02-06
Yevgeniy Fedorov,Vino - Astana Motors,178,17,12,1,98,19,2020-02-06
Łukasz Owsian,Team Arkéa Samsic,413,98,329,81,188,29,2020-02-06
Kazushige Kuboki,Team Bridgestone Cycling,55,223,401,31,15,30,2020-02-06
Domen Novak,Bahrain - McLaren,232,16,44,90,32,24,2020-02-06
Clément Carisey ,,64,35,50,21,26,27,2020-02-06
Sylwester Janiszewski,Voster ATS Team,78,50,1164,4,180,32,2020-02-06
Lachlan Morton,EF Pro Cycling,706,128,136,558,32,28,2020-02-06
Guillaume Van Keirsbulck,CCC Team,547,457,675,20,685,28,2020-02-06
Steve Morabito ,,1504,604,240,710,345,37,2020-02-06
Bruno Armirail,Groupama - FDJ,79,162,8,55,24,25,2020-02-06
Marcelo Felipe,7 Eleven Cliqq - air21 by Roadbike Philippines,153,20,284,108,7,29,2020-02-06
Didier Munyaneza,Benediction Ignite XL,60,14,160,42,51,22,2020-02-06
Damien Gaudin,Team Total Direct Energie,667,1103,611,24,620,33,2020-02-06
Luis Ángel Maté,"Cofidis, Solutions Crédits",873,4,394,663,493,35,2020-02-06
Mattia Frapporti,Androni Giocattoli - Sidermec,39,32,134,18,63,25,2020-02-06
David Lozano,Team Novo Nordisk,120,0,138,68,38,31,2020-02-06
Pieter Vanspeybrouck,Circus - Wanty Gobert,251,135,1316,90,770,32,2020-02-06
Dylan Sunderland,NTT Pro Cycling,73,45,72,45,60,23,2020-02-06
Rubén Fernández,Fundación - Orbea,816,74,167,424,164,28,2020-02-06
Moreno Hofland,EF Pro Cycling,332,170,2621,28,720,28,2020-02-06
János Pelikán,Androni Giocattoli - Sidermec,24,190,123,2,61,24,2020-02-06
Hannes Bergström Frisk,Memil - CCN Pro Cycling,96,68,12,28,2,24,2020-02-06
Andrea Peron,Team Novo Nordisk,60,30,648,13,94,31,2020-02-06
Frederico Figueiredo,Atum general / Tavira / Maria Nova Hotel,271,10,110,216,32,28,2020-02-06
Kevin Deltombe,Sport Vlaanderen - Baloise,68,6,276,38,202,25,2020-02-06
Tom Devriendt,Circus - Wanty Gobert,26,30,502,20,501,28,2020-02-06
Henrique Casimiro,Kelly / InOutBuild / UD Oliveirense,280,50,86,184,7,33,2020-02-06
Jacopo Mosca,Trek - Segafredo,374,68,364,100,26,26,2020-02-06
Atsushi Oka,NIPPO DELKO One Provence,37,219,122,7,9,24,2020-02-06
Ka Hoo Fung,HKSI Pro Cycling Team,130,99,24,55,10,22,2020-02-06
Andrea Garosio,Vini Zabù - KTM,37,4,30,37,39,26,2020-02-06
Alexis Guerin,Team Vorarlberg Santic,85,85,131,68,75,27,2020-02-06
