Rider,Team,GC,TT,Sprint,Climber,Classic,Age,crawl_date
Chris Lawless,Team INEOS,249,30,567,131,290,24,2020-02-06
Lucas Hamilton,Mitchelton-Scott,517,54,257,277,182,23,2020-02-06
Eduard Prades,Movistar Team,1001,30,1196,638,665,32,2020-02-06
Victor Campenaerts,NTT Pro Cycling,552,2326,176,126,130,28,2020-02-06
Eddie Dunbar,Team INEOS,458,129,192,225,184,23,2020-02-06
Mattia Cattaneo,Deceuninck - Quick Step,600,405,226,710,640,29,2020-02-06
Max Walscheid,NTT Pro Cycling,70,156,1524,16,533,26,2020-02-06
Simone Velasco,Gazprom - RusVelo,108,3,242,252,518,24,2020-02-06
Rudy Molard,Groupama - FDJ,1018,142,508,1033,748,30,2020-02-06
Simone Consonni,"Cofidis, Solutions Crédits",128,21,1143,94,626,25,2020-02-06
Thomas De Gendt,Lotto Soudal,1090,1901,792,1522,237,33,2020-02-06
Thomas Boudat,Team Arkéa Samsic,143,59,1391,22,969,25,2020-02-06
Piotr Havik,Riwal Readynez Cycling Team,40,18,578,1,447,25,2020-02-06
Maximiliano Richeze,UAE-Team Emirates,453,151,4616,534,1088,36,2020-02-06
Aimé De Gendt,Circus - Wanty Gobert,253,104,351,64,424,25,2020-02-06
Tanel Kangert,EF Pro Cycling,2019,1206,336,1392,638,32,2020-02-06
Ruben Guerreiro,EF Pro Cycling,657,27,358,529,297,25,2020-02-06
Filippo Ganna,Team INEOS,186,974,57,16,99,23,2020-02-06
Bjorg Lambrecht ,,375,31,168,552,324,Date of birth: 2nd April 1997Passed away on: 5th August 2019Nationality: BelgiumWeight: 56 kg   Height: 1.69 mPlace of birth: GhentPoints per specialty324One day races375GC31Time trial168Sprint552ClimberTwitterInstagramStravaFacebookRankings |  PCS 166  UCI 119  Visits: ▼50 this wee,2020-02-06
Gianni Moscon,Team INEOS,664,394,374,732,1316,25,2020-02-06
Merhawi Kudus,Astana Pro Team,1042,149,262,916,260,26,2020-02-06
Eduard-Michael Grosu,NIPPO DELKO One Provence,267,282,2416,166,375,27,2020-02-06
Tim Merlier,Alpecin-Fenix,5,3,1126,0,620,27,2020-02-06
Carlos Betancur,Movistar Team,1577,285,748,1500,1153,30,2020-02-06
Simon Špilak ,,4134,1361,477,1680,659,33,2020-02-06
Tom Dumoulin,Team Jumbo-Visma,3802,4883,575,2866,1015,29,2020-02-06
Kristian Sbaragli,Alpecin-Fenix,319,0,1986,398,1441,29,2020-02-06
Amaury Capiot,Sport Vlaanderen - Baloise,30,10,1278,55,887,26,2020-02-06
Jos van Emden,Team Jumbo-Visma,1089,3325,778,89,810,34,2020-02-06
Tejay van Garderen,EF Pro Cycling,4943,3117,490,3360,147,31,2020-02-06
Marc Soler,Movistar Team,1178,480,61,1061,226,26,2020-02-06
Nans Peters,AG2R La Mondiale,192,61,111,350,269,25,2020-02-06
Julien Simon,Team Total Direct Energie,1006,174,2082,1078,2579,34,2020-02-06
Xandro Meurisse,Circus - Wanty Gobert,869,53,866,534,501,28,2020-02-06
Lawson Craddock,EF Pro Cycling,699,906,216,462,130,27,2020-02-06
Tony Gallopin,AG2R La Mondiale,2186,1036,1982,2438,2809,31,2020-02-06
Jan Hirt,CCC Team,863,25,136,926,92,29,2020-02-06
Alex Aranburu,Astana Pro Team,231,2,376,317,217,24,2020-02-06
Óscar Rodríguez,Astana Pro Team,266,116,22,334,51,24,2020-02-06
Mathias Frank,AG2R La Mondiale,2783,575,352,2386,647,33,2020-02-06
James Piccoli,Israel Start-Up Nation,397,217,119,186,48,28,2020-02-06
Esteban Chaves,Mitchelton-Scott,2114,200,306,2476,764,30,2020-02-06
Pierre Latour,AG2R La Mondiale,1509,616,164,1738,515,26,2020-02-06
Joe Dombrowski,UAE-Team Emirates,1093,224,38,953,60,28,2020-02-06
Odd Christian Eiking,Circus - Wanty Gobert,621,39,364,506,334,25,2020-02-06
Valerio Conti,UAE-Team Emirates,671,232,202,716,295,26,2020-02-06
André Greipel,Israel Start-Up Nation,1883,500,15873,342,4528,37,2020-02-06
Mihkel Räim,Israel Start-Up Nation,333,154,1398,60,411,26,2020-02-06
Tosh Van der Sande,Lotto Soudal,553,1,1438,457,390,29,2020-02-06
Justin Jules,NIPPO DELKO One Provence,261,1,2723,52,1098,33,2020-02-06
Loïc Vliegen,Circus - Wanty Gobert,490,23,510,171,477,26,2020-02-06
Quentin Pacher,B&B Hotels - Vital Concept p/b KTM,547,56,568,206,369,28,2020-02-06
Rémi Cavagna,Deceuninck - Quick Step,388,437,244,186,162,24,2020-02-06
Jai Hindley,Team Sunweb,592,9,162,293,114,23,2020-02-06
Damiano Caruso,Bahrain - McLaren,2524,681,954,2352,546,32,2020-02-06
Lionel Taminiaux,Bingoal - Wallonie Bruxelles,16,23,419,0,329,23,2020-02-06
Clément Venturini,AG2R La Mondiale,271,61,1480,218,513,26,2020-02-06
Hermann Pernsteiner,Bahrain - McLaren,639,27,18,512,151,29,2020-02-06
Attila Valter,CCC Team,210,68,182,66,32,21,2020-02-06
Davide Villella,Movistar Team,666,91,346,692,886,28,2020-02-06
Cristian Raileanu,Team Sapura Cycling,344,153,320,99,82,27,2020-02-06
Søren Kragh Andersen,Team Sunweb,611,1110,749,212,457,25,2020-02-06
Óscar Sevilla,Team Medellin,4637,2159,2779,2042,768,43,2020-02-06
Matthias Brändle,Israel Start-Up Nation,869,2611,666,163,427,30,2020-02-06
Jonas Vingegaard,Team Jumbo-Visma,281,92,216,84,28,23,2020-02-06
Nacer Bouhanni,Team Arkéa Samsic,379,51,8333,376,3580,29,2020-02-06
Chris Harper,Team Jumbo-Visma,341,142,212,154,156,25,2020-02-06
Maciej Paterski,Wibatech Merx 7R,923,246,1651,467,989,33,2020-02-06
Jens Debusschere,B&B Hotels - Vital Concept p/b KTM,512,65,3054,78,2167,30,2020-02-06
Danny van Poppel,Circus - Wanty Gobert,293,343,3438,158,1292,26,2020-02-06
Jonathan Hivert,Team Total Direct Energie,1467,531,1656,774,1656,34,2020-02-06
Carlos Barbero,NTT Pro Cycling,387,0,2182,182,1059,28,2020-02-06
Nikias Arndt,Team Sunweb,475,653,1511,342,638,28,2020-02-06
Chris Hamilton,Team Sunweb,494,58,21,236,68,24,2020-02-06
Luke Rowe,Team INEOS,374,142,749,15,1025,29,2020-02-06
Davide Ballerini,Deceuninck - Quick Step,69,82,739,185,572,25,2020-02-06
José Joaquín Rojas,Movistar Team,1802,129,5690,1546,2778,34,2020-02-06
Antwan Tolhoek,Team Jumbo-Visma,420,6,20,485,283,25,2020-02-06
Onur Balkan ,,247,143,1234,44,189,23,2020-02-06
Rein Taaramäe,Team Total Direct Energie,2536,1270,761,1480,702,32,2020-02-06
Nikolay Cherkasov,Gazprom - RusVelo,162,15,54,139,115,23,2020-02-06
Christophe Noppe,Team Arkéa Samsic,9,16,738,8,457,25,2020-02-06
Julien El Fares,NIPPO DELKO One Provence,1388,83,1096,573,584,34,2020-02-06
Marco Haller,Bahrain - McLaren,375,5,700,130,558,28,2020-02-06
Arvid de Kleijn,Riwal Readynez Cycling Team,28,0,826,0,401,25,2020-02-06
Edwin Ávila, Israel Cycling Academy,325,47,1146,187,177,30,2020-02-06
Rasmus Quaade,Riwal Readynez Cycling Team,379,851,290,70,111,30,2020-02-06
Gianluca Brambilla,Trek - Segafredo,1230,148,752,1838,1254,32,2020-02-06
Tom-Jelte Slagter,B&B Hotels - Vital Concept p/b KTM,1283,223,652,1500,1481,30,2020-02-06
Nelson Oliveira,Movistar Team,721,2119,144,316,358,30,2020-02-06
Gregor Mühlberger,BORA - hansgrohe,383,171,442,592,569,25,2020-02-06
Jon Aberasturi,Caja Rural - Seguros RGA,124,157,2216,98,405,30,2020-02-06
Alexis Gougeard,AG2R La Mondiale,537,424,532,212,499,26,2020-02-06
Owain Doull,Team INEOS,310,194,546,58,317,26,2020-02-06
Edoardo Affini,Mitchelton-Scott,105,393,76,7,42,23,2020-02-06
Sébastien Reichenbach,Groupama - FDJ,1394,115,274,1236,594,30,2020-02-06
